iter	Passed	Remaining
0	383	37979
1	938	45993
2	1589	51402
3	2352	56459
4	2871	54562
5	3284	51457
6	3727	49528
7	4240	48767
8	4813	48669
9	5329	47968
10	5772	46701
11	6270	45984
12	6820	45643
13	7371	45283
14	7784	44111
15	8281	43479
16	8854	43230
17	9366	42669
18	9889	42158
19	10397	41590220	11015	41437
21	11497	40764
22	12065	40392
23	12519	39645
24	12998	38996
25	13450	38282
26	13925	37650
27	14478	37229
28	15047	36840
29	15621	36449
30	16097	35830
31	16586	35246
32	17201	34923
33	17743	34443
34	18193	33788335	18483	32860336	18734	31899337	18979	30966338	19294	30178339	19581	29372440	19846	28559441	20106	27766442	20365	26996443	20611	2623244	20801	25424
45	21118	24791
46	21395	24126
47	21680	23487
48	21981	22879
49	22308	22308
50	22647	21759
51	23069	21295
52	23429	20777
53	23822	20293
54	24140	19750
55	24458	19217
56	24735	18660
57	25055	18143
58	25358	17622
59	25797	17198
60	26116	16697
61	26469	16223
62	26738	15703
63	26987	15180
64	27211	14652
65	27496	14164
66	27756	13671
67	28036	13193
68	28288	12709
69	28557	12238
70	28797	11762
71	28994	11275
72	29171	10789
73	29359	10315
74	29605	9868
75	29802	9411
76	30025	8968
77	30201	8518
78	30405	8082
79	30604	7651
80	30855	7237
81	31115	6830
82	31348	6420
83	31587	6016
84	31788	5609
85	31995	5208
86	32183	4808
87	32417	4420
88	32597	4028
89	32835	3648
90	33045	3268
91	33234	2889
92	33461	2518
93	33617	2145
94	33772	1777
95	33933	1413
96	34061	1053
97	34161	697
98	34264	346
99	34366	0

