iter	Passed	Remaining
0	1681	8404231
1	3301	8250687
2	4870	8112684
3	6316	7889808
4	7795	7787956
5	8966	7463439
6	10392	7412986
7	11735	7322862
8	12993	7205486
9	14412	7191939
10	15860	7193415
11	17162	7133768
12	18624	7144607
13	19946	7103647
14	21351	7095957
15	22608	7042539
16	23982	7029766
17	25321	7008443
18	28521	7477214
19	29959	7459884
20	31596	7491421
21	33032	7474290
22	34464	7457820
23	35753	7412962
24	37336	7430022
25	38822	7426973
26	40301	7422974
27	41666	7398694
28	43191	7403674
29	44567	7383356
30	46037	7379286
31	47764	7415480
32	49181	7402587
33	50573	7386667
34	52144	7397058
35	53591	7389635
36	54895	7363427
37	56281	7349175
38	57649	7333315
39	59202	7341055
40	60716	7343728
41	62233	7346555
42	63704	7343825
43	65096	7332277
44	66654	7339415
45	68155	7340037
46	69570	7331548
47	71152	7340517
48	72397	7315091
49	73877	7313855
50	75400	7316795
51	76811	7308872
52	78418	7319574
53	79880	7316441
54	81209	7301502
55	82790	7309219
56	84337	7313729
57	85699	7302185
58	87173	7300414
59	88842	7314707
60	90443	7322928
61	91986	7326299
62	93518	7328567
63	95160	7339250
64	96656	7338487
65	98233	7343663
66	99875	7353533
67	101549	7365318
68	103269	7380029
69	104929	7390001
70	106890	7420636
71	108453	7423060
72	109954	7421179
73	111619	7430210
74	113435	7448944
75	115061	7454769
76	116594	7454460
77	118182	7457643
78	119866	7466606
79	121279	7458701
80	122974	7468058
81	124512	7467734
82	126061	7468005
83	127708	7473962
84	129140	7467377
85	130621	7463651
86	132340	7473458
87	133849	7471211
88	135425	7472728
89	136954	7471618
90	138638	7478873
91	140297	7484582
92	141745	7478976
93	143412	7484891
94	144945	7483743
95	146635	7490626
96	147906	7476120
97	149381	7472142
98	150882	7469469
99	152390	7467146
100	154011	7470319
101	155598	7471792
102	157065	7467494
103	158631	7467896
104	160234	7469983
105	161892	7474546
106	163240	7464825
107	164813	7465437
108	166348	7464330
109	168392	7485794
110	169873	7482088
111	171337	7477661
112	172913	7478111
113	174534	7480484
114	176198	7484617
115	177739	7483449
116	179236	7480457
117	181121	7493516
118	182700	7493772
119	184215	7491412
120	185786	7491350
121	187534	7498301
122	189211	7502322
123	190856	7504963
124	192407	7503896
125	193924	7501473
126	195469	7500164
127	197059	7500573
128	198859	7508878
129	200602	7514895
130	202181	7514669
131	203732	7513391
132	205170	7507994
133	207067	7519318
134	208867	7526956
135	210406	7525126
136	212039	7526638
137	213608	7525830
138	215173	7524877
139	216755	7524497
140	218388	7525874
141	220001	7526539
142	221725	7530905
143	223254	7528630
144	224899	7530257
145	226599	7533664
146	228605	7547105
147	230326	7550974
148	231886	7549552
149	233466	7548759
150	235343	7557498
151	236986	7558634
152	238619	7559414
153	240336	7562811
154	241823	7558946
155	243437	7559048
156	245231	7564692
157	246898	7566339
158	248678	7571393
159	250370	7573720
160	251882	7570543
161	253641	7574788
162	255391	7578709
163	256952	7576975
164	258442	7573136
165	259947	7569794
166	261551	7569322
167	263366	7574933
168	265080	7577529
169	266654	7576124
170	268257	7575526
171	269971	7578030
172	271709	7581156
173	273307	7580359
174	274881	7578881
175	276522	7579227
176	277951	7573786
177	279549	7572959
178	281214	7573949
179	282828	7573514
180	284460	7573559
181	285965	7570226
182	287572	7569603
183	289343	7573255
184	290990	7573612
185	292321	7565777
186	293993	7566786
187	295628	7566843
188	297275	7567152
189	298969	7568645
190	300474	7565358
191	301937	7561030
192	303448	7557899
193	305153	7559627
194	306811	7560155
195	308457	7560346
196	309986	7557681
197	311769	7561186
198	313297	7558508
199	314769	7554475
200	316482	7556221
201	318026	7553919
202	319667	7553904
203	321249	7552507
204	322934	7553520
205	324629	7554738
206	326275	7554774
207	328085	7558580
208	329704	7557952
209	331374	7558497
210	333077	7559765
211	334678	7558692
212	336153	7554775
213	337856	7555989
214	339633	7558819
215	341117	7555109
216	342634	7552180
217	344172	7549698
218	345758	7548269
219	347375	7547511
220	349436	7556375
221	350956	7553467
222	352490	7550891
223	354317	7554559
224	355988	7554857
225	357527	7552378
226	358856	7545462
227	360435	7543861
228	362145	7544956
229	363823	7545374
230	365498	7545729
231	367175	7546096
232	368676	7542831
