iter	MAE
0	0.937493817
1	0.9121827621
2	0.8885221592
3	0.8649060315
4	0.8421891799
5	0.8204936383
6	0.7992427566
7	0.7789355422
8	0.7591787656
9	0.740210989
10	0.7215964379
11	0.7035118431
12	0.6860654933
13	0.6691426556
14	0.6533782399
15	0.6375229943
16	0.6221440539
17	0.607316578
18	0.5931050591
19	0.5792367139
20	0.5658220588
21	0.5530981814
22	0.5405912236
23	0.5281603843
24	0.5169523703
25	0.5056380485
26	0.4944928085
27	0.4838064963
28	0.4734735338
29	0.4636291766
30	0.4539951356
31	0.4452463856
32	0.4361932554
33	0.4273846588
34	0.4194791297
35	0.4110676581
36	0.403269641
37	0.3958806211
38	0.3891037269
39	0.3821275805
40	0.3752661808
41	0.3686362696
42	0.3622365296
43	0.3558975598
44	0.3501281931
45	0.344241658
46	0.3385904678
47	0.3328448005
48	0.3275249696
49	0.3222605647
50	0.317587026
51	0.3128292991
52	0.308356748
53	0.303706682
54	0.2993709224
55	0.2951650675
56	0.2908164528
57	0.2867402931
58	0.2826629818
59	0.2788664921
60	0.2755259164
61	0.271996231
62	0.2686696114
63	0.2651698909
64	0.262024627
65	0.2587101934
66	0.255900065
67	0.2529824896
68	0.2501523529
69	0.2474009836
70	0.2447863882
71	0.2422326355
72	0.2396527864
73	0.2372104585
74	0.2350086926
75	0.2326718886
76	0.2304989181
77	0.2285011912
78	0.2265040413
79	0.2245938441
80	0.2225591278
81	0.220661204
82	0.2187085612
83	0.2170290662
84	0.2154502455
85	0.2138614635
86	0.2121136832
87	0.2104403537
88	0.2089333767
89	0.2073474034
90	0.20593357
91	0.2044831342
92	0.2031519188
93	0.2017697744
94	0.2003872292
95	0.1989719579
96	0.1976517293
97	0.196285819
98	0.1951090942
99	0.1938591195
100	0.1928277027
101	0.1916886833
102	0.1906780303
103	0.1896317246
104	0.1886646547
105	0.1875925257
106	0.1866228725
107	0.1857012887
108	0.1847735565
109	0.1839377751
110	0.1831209834
111	0.1823012798
112	0.1814772125
113	0.1806666979
114	0.1798180115
115	0.1790802635
116	0.1783043245
117	0.1775781713
118	0.1769187129
119	0.1761448372
120	0.1754433737
121	0.1747711431
122	0.1740969482
123	0.1734442125
124	0.1727595173
125	0.1721578673
126	0.1715898681
127	0.1709113092
128	0.1703472075
129	0.1697739544
130	0.1692626193
131	0.1687618057
132	0.1682646302
133	0.1678065226
134	0.1672731464
135	0.1668088032
136	0.1663647502
137	0.1659318686
138	0.1654869427
139	0.1650727706
140	0.164665877
141	0.1642073988
142	0.1637936858
143	0.1633726092
144	0.1630378217
145	0.1626644319
146	0.1622607679
147	0.1618911428
148	0.1614678068
149	0.1611292132
150	0.1607896185
151	0.1604471478
152	0.16013201
153	0.1598372499
154	0.1595388744
155	0.1592318106
156	0.1589069007
157	0.1586046893
158	0.1582349779
159	0.1579212234
160	0.1576284381
161	0.1573358072
162	0.1570545378
163	0.156803317
164	0.1565207664
165	0.1562879859
166	0.156006365
167	0.1557152112
168	0.1554483523
169	0.1552401463
170	0.1550291779
171	0.1548242869
172	0.1545873881
173	0.1543476059
174	0.1541330244
175	0.1538973861
176	0.1536625818
177	0.1534808611
178	0.1532751991
179	0.1530718027
180	0.1528846446
181	0.1526851523
182	0.1525204276
183	0.1523325464
184	0.152140268
185	0.1519731858
186	0.1517864471
187	0.1515638528
188	0.1513759164
189	0.1512104014
190	0.1510406427
191	0.1508759149
192	0.1507028332
193	0.1505863613
194	0.150416409
195	0.150217546
196	0.1500639708
197	0.1498903342
198	0.1497111455
199	0.1495513558
200	0.149301884
201	0.1491343407
202	0.1490067435
203	0.148847379
204	0.1486809989
205	0.1485522974
206	0.1484096874
207	0.1482719338
208	0.1481113764
209	0.1479702871
210	0.1478352271
211	0.1476934646
212	0.1475646521
213	0.1473838042
214	0.1472606894
215	0.1471088626
216	0.1469398531
217	0.1468179305
218	0.1467093386
219	0.1465452799
220	0.146371163
221	0.1462012242
222	0.1459575561
223	0.1458358522
224	0.1457028393
225	0.1455585787
226	0.145398718
227	0.1452326088
228	0.1450881047
229	0.144952316
230	0.1448449389
231	0.1447081539
232	0.1445874886
233	0.1444596688
234	0.1443479431
235	0.1442070309
236	0.144101093
237	0.1440110774
238	0.1438610694
239	0.1437191457
240	0.1435909448
241	0.1434253235
242	0.1433124822
243	0.1432116625
244	0.1430842821
245	0.1429523665
246	0.1428337118
247	0.1426499803
248	0.1425324489
249	0.1423959392
250	0.1422569347
251	0.1421302769
252	0.1420026052
253	0.1417803773
254	0.1416195971
255	0.1414897195
256	0.1413699797
257	0.1412643917
258	0.1411731457
259	0.1410601405
260	0.1408851264
261	0.1407181795
262	0.1406106289
263	0.1405151342
264	0.1404277825
265	0.1403378068
266	0.1402460564
267	0.1401882882
268	0.1401179306
269	0.1399589043
270	0.1397930278
271	0.1396466401
272	0.1394905914
273	0.1393732626
274	0.1392320702
275	0.1390817657
276	0.138942137
277	0.1388236402
278	0.1386709763
279	0.1385110111
280	0.1384291122
281	0.1383023241
282	0.1381583198
283	0.1380642969
284	0.1379668261
285	0.1378890243
286	0.1377453619
287	0.1376259853
288	0.1375047863
289	0.1373745364
290	0.1373075306
291	0.1372002616
292	0.1371125358
293	0.1370041771
294	0.1369375568
