iter	MAE
0	4516.946423
1	4406.254799
2	4302.617518
3	4195.066703
4	4104.127478
5	4009.634525
6	3911.941996
7	3831.088643
8	3746.801169
9	3663.645081
10	3582.725272
11	3505.237316
12	3428.261823
13	3351.169042
14	3281.928067
15	3212.085156
16	3147.521293
17	3083.383913
18	3018.759751
19	2959.277508
20	2898.546666
21	2844.106856
22	2787.549154
23	2726.405859
24	2675.117778
25	2621.594417
26	2574.925761
27	2522.837882
28	2477.776526
29	2434.734929
30	2389.84142
31	2346.997884
32	2305.398582
33	2263.710333
34	2226.851599
35	2185.620246
36	2150.055288
37	2113.194338
38	2079.97063
39	2044.726595
40	2012.184737
41	1981.929085
42	1953.184073
43	1921.543641
44	1892.799377
45	1862.600755
46	1833.760004
47	1808.256058
48	1778.958998
49	1756.36352
50	1730.190404
51	1706.25519
52	1682.627709
53	1659.218036
54	1636.988286
55	1614.681393
56	1593.173447
57	1572.588127
58	1552.353002
59	1533.0426
60	1515.278757
61	1494.735683
62	1478.491001
63	1461.147735
64	1441.959769
65	1427.61697
66	1410.130729
67	1395.819211
68	1379.951029
69	1364.536406
70	1350.721158
71	1336.30332
72	1322.158541
73	1309.40105
74	1298.951908
75	1288.367627
76	1275.390631
77	1264.146497
78	1251.850049
79	1239.744529
80	1230.387885
81	1220.516961
82	1209.032747
83	1201.12094
84	1193.414427
85	1184.243742
86	1173.425586
87	1166.083426
88	1158.390016
89	1150.026762
90	1144.051003
91	1134.724182
92	1125.344437
93	1116.79271
94	1108.450445
95	1101.620705
96	1094.170009
97	1087.094176
98	1081.161752
99	1074.894278
100	1069.594166
101	1064.713841
102	1058.996494
103	1053.895663
104	1047.787333
105	1041.84267
106	1036.982594
107	1031.855821
108	1026.081189
109	1020.615934
110	1014.45006
111	1010.963602
112	1006.940278
113	1002.365068
114	996.402547
115	991.6779909
116	987.0044666
117	982.9588326
118	978.0992607
119	973.3867051
120	969.0467894
121	966.9693199
122	963.0593387
123	959.128278
124	955.3222513
125	951.6678862
126	948.4279778
127	945.2304756
128	943.0596604
129	938.9530622
130	934.7994784
131	930.884625
132	928.3460841
133	924.740665
134	921.7941016
135	918.6152018
136	915.495599
137	911.8591506
138	909.1296069
139	906.7884246
140	904.7514166
141	902.6609196
142	900.5938133
143	898.2077545
144	896.4971468
145	894.3538448
146	891.9783552
147	890.29549
148	887.7821034
149	886.7547367
150	884.9917317
151	883.2909289
152	881.017804
153	879.1147153
154	878.0453539
155	876.2466503
156	874.4306749
157	871.1164942
158	869.377094
159	867.5696939
160	865.5837813
161	863.9870925
162	863.0608554
163	862.0312654
164	859.9174701
165	857.4804269
166	856.5196286
167	854.0793029
168	853.1406744
169	851.1526196
170	849.509134
171	847.4968563
172	845.011255
173	843.8090784
174	842.0694012
175	841.0051771
176	838.941614
177	837.3566264
178	834.8701833
179	833.6933596
180	832.0097905
181	830.0931072
182	827.7686335
183	825.95946
184	825.5739249
185	825.0241697
186	823.3923679
187	820.8856328
188	819.3607975
189	818.4469219
190	817.4778181
191	816.1479062
192	813.8201979
193	812.0933003
194	810.9457852
195	809.8523011
196	808.8064084
197	807.2951889
198	806.3510852
199	805.1237918
200	804.558168
201	803.7048182
202	802.3689333
203	799.8458151
204	798.6558176
205	797.8334011
206	797.120215
207	796.3887704
208	794.5973814
209	792.5724169
210	791.5656602
211	790.5802832
212	790.1843336
213	789.3494977
214	787.5335402
215	786.0679259
216	785.7570448
217	784.9137901
218	784.2242975
219	782.4976235
220	781.3844983
221	780.6066128
222	779.8391612
223	778.1353914
224	776.3927239
225	775.9421056
226	774.9218375
227	774.3195225
228	773.5082846
229	772.7899145
230	771.549699
231	770.7919234
232	769.7549293
233	768.9765698
234	768.221966
235	767.8410762
236	766.9869564
237	766.0166301
238	763.9704814
239	763.7783364
240	761.633295
241	760.8796265
242	759.1951146
243	758.6313656
244	758.2061404
245	756.6546638
246	755.4584441
247	754.7320954
248	753.6386883
249	752.600788
250	752.0783019
251	751.0546469
252	750.5971116
253	749.4860195
254	748.7952745
255	748.3604339
256	747.9234428
257	746.3215418
258	745.8357233
259	745.0562517
260	744.4277616
261	743.5750763
262	743.0392681
263	741.6558612
264	740.798667
265	740.188759
266	739.7203192
267	738.9570965
268	738.5507967
269	738.178818
270	737.9348279
271	737.5316682
272	736.3242693
273	734.7300148
274	734.399488
275	733.4589952
276	732.0582708
277	731.6537548
278	731.0489286
279	730.4460102
280	729.1300814
281	728.7256552
282	727.9218964
283	727.3774068
284	726.779915
285	725.1670214
286	724.7932295
287	724.3493077
288	722.6207449
289	721.8208908
290	721.4174589
291	720.2957556
292	719.9028803
293	719.1202131
294	718.6682823
295	717.8883589
296	717.6573716
297	716.9310479
298	715.6648116
299	714.85888
300	714.6759534
301	713.9191695
302	713.7155888
303	713.4566089
304	712.9362071
305	712.7096411
306	711.8300204
307	711.3468552
308	710.2776594
309	709.350417
310	707.8029051
311	706.7199347
312	706.5777391
313	706.2720206
314	705.2296648
315	704.731927
316	704.3696951
317	703.6712724
318	703.4936865
319	702.894931
320	702.5969715
321	702.2929933
322	701.625302
323	700.6158441
324	700.0851283
325	699.6443243
326	698.702699
327	697.8230958
328	697.2826651
329	696.98188
330	695.8736244
331	695.693536
332	694.5362856
333	693.969935
334	693.0372516
335	691.7875158
336	691.6839992
337	691.5057656
338	690.417933
339	690.1127346
340	689.8411578
341	689.0995336
342	688.036751
343	687.3292989
344	687.1841049
345	685.6966084
346	684.9364014
347	684.4229272
348	683.0064158
349	682.4292434
350	682.1339717
351	681.9745274
352	681.3550245
353	681.1254828
354	680.7999606
355	679.9020428
356	679.3383305
357	679.2217076
358	679.0364892
359	678.6224031
360	677.7516545
361	676.9539363
362	676.6425902
363	676.1270535
364	675.6998907
365	675.5659446
366	674.7152379
367	673.2160292
368	673.0300996
369	672.8804614
370	672.1909871
371	671.7260907
372	671.5615366
373	671.1300019
374	670.828337
375	669.9603867
376	669.8673809
377	669.6070124
378	669.1727427
379	668.9121184
380	668.8072125
381	668.6327086
382	668.1096541
383	667.4143631
384	666.6304755
385	665.8235454
386	665.6748794
387	664.4387893
388	663.7004361
389	663.0079652
390	662.4701438
391	661.8340091
392	661.7011969
393	661.2805595
394	660.9432186
395	660.1420351
396	660.0127242
397	659.7102753
398	659.5144485
399	658.6913939
400	657.6945822
401	657.3457009
402	657.04721
403	656.9063815
404	656.8088756
405	656.4839174
406	656.0985324
407	655.519104
408	655.2417699
409	654.3417796
410	653.9189137
411	652.9547207
412	651.9634883
413	651.7008442
414	651.434423
415	650.6780959
416	650.239
417	649.6003015
418	648.8963299
419	647.9907133
420	647.8905097
421	647.4813565
422	647.3453715
423	646.9213502
424	646.5322609
425	646.3549731
426	645.9787258
427	645.7821938
428	645.1708457
429	644.3927067
430	643.6117479
431	643.1156123
432	642.3083281
433	642.2065273
434	641.834174
435	641.4985848
436	640.8198955
437	640.467329
438	640.159681
439	639.3841778
440	639.2692229
441	638.5902328
442	638.3595879
443	637.376998
444	636.3122375
445	635.808928
446	635.6902486
447	635.1990988
448	634.4803909
449	634.0124193
450	633.4829352
451	633.2724775
452	633.0865049
453	632.8096103
454	632.7117918
455	631.7789821
456	631.0856577
457	630.9043738
458	630.6424335
459	629.8686473
460	629.1936249
461	628.1596256
462	627.9916727
463	627.7513034
464	627.6222234
465	627.3997874
466	627.1326763
467	626.7488143
468	626.5140816
469	626.1643057
470	625.6881395
471	625.4457956
472	624.8055975
473	624.6415527
474	624.1776955
475	624.077884
476	623.4839434
477	623.3691163
478	623.2343121
479	622.9989704
480	622.5733759
481	622.1558563
482	621.8914245
483	621.641995
484	621.3751454
485	621.3115635
486	621.1348203
487	620.4706995
488	620.1323599
489	619.4456759
490	619.1933548
491	618.6314076
492	617.7311347
493	617.5381231
494	616.9607353
495	616.1761572
496	615.7086131
497	615.4949599
498	615.3102796
499	615.1255879
500	615.0070616
501	614.4260568
502	614.3366983
503	614.0571715
504	613.8711092
505	613.5345265
506	613.0907752
507	612.6522934
508	612.1082253
509	611.581189
510	611.365373
511	610.6518372
512	610.5073006
513	609.9912787
514	609.756038
515	609.4331891
516	609.1989974
517	608.7457739
518	608.6599782
519	608.5555013
520	608.2710369
521	608.0306998
522	607.3294816
523	606.9002422
524	606.7940074
525	606.7169198
526	606.409832
527	605.9488408
528	605.6463872
529	605.4558062
530	605.2970066
531	605.2187247
532	604.9201193
533	604.5934316
534	604.4316333
535	604.2786665
536	604.1806862
537	603.2755876
538	602.9383834
539	602.8558733
540	602.758729
541	602.6115068
542	602.4777995
543	602.3057312
544	601.8392516
545	601.7578505
546	601.4057102
547	600.7903052
548	600.66109
549	599.9343207
550	599.4672954
551	598.9275867
552	598.7077709
553	598.5097057
554	598.3402114
555	597.7528384
556	597.3524398
557	597.1569419
558	597.0240321
559	596.9562959
560	596.2517241
561	596.2061051
562	595.7878816
563	595.4722497
564	595.1056386
565	595.023219
566	594.8755871
567	594.4170244
568	594.1052533
569	594.0633228
570	593.9614348
571	593.8778132
572	593.2160457
573	593.1298351
574	592.2231482
575	591.9183489
576	591.4832705
577	591.3959377
578	590.9186062
579	590.5985261
580	590.263668
581	589.7708621
582	589.62772
583	589.0585421
584	588.7584638
585	588.5377173
586	588.1522929
587	588.0833699
588	587.7163774
589	587.6210017
590	587.4147409
591	587.1822258
592	586.6587416
593	586.3453832
594	585.8386775
595	585.7240288
596	585.3269874
597	585.1988009
598	584.8168295
599	584.7677078
600	584.316405
601	584.1067177
602	584.061272
603	583.4569853
604	582.8333078
605	582.5334494
606	582.0408971
607	581.4753764
608	581.3345348
609	580.9427158
610	580.5980394
611	580.4082639
612	580.2419695
613	580.1648245
614	579.5001706
615	578.886223
616	578.6336588
617	578.4388735
618	578.3787382
619	578.2179999
620	577.7658345
621	577.4829806
622	577.3604608
623	576.9820562
624	576.8560364
625	576.7188517
626	576.6577785
627	576.4896909
628	576.1336319
629	575.9533484
630	575.5265548
631	575.289585
632	574.9181668
633	574.8166913
634	574.7427561
635	574.2998833
636	574.1600252
637	573.9070762
638	573.39102
639	573.0907875
640	572.7780302
641	572.4772957
642	572.2000208
643	572.1000286
644	571.4396935
645	571.3327971
646	570.9738825
647	570.9026945
648	570.8582962
649	570.2920443
650	570.1409079
651	570.0652938
652	569.7788552
