iter	Passed	Remaining
0	31	15705
1	89	22331
2	145	24130
3	186	23095
4	218	21670
5	251	20683
6	290	20436
7	327	20113
8	371	20251
9	426	20902
10	470	20918
11	503	20457
12	535	20051
13	558	19377
14	582	18818
15	619	18725
16	650	18493
17	682	18283
18	717	18157
19	749	17999
20	763	17422
21	795	17286
22	827	17166
23	861	17088
24	894	16995
25	927	16905
26	958	16799
27	966	16288
28	972	15800
29	1003	15726
30	1036	15681
31	1065	15580
32	1099	15566
33	1133	15538
34	1167	15507
35	1199	15458
36	1231	15409
37	1243	15115
38	1273	15056
39	1305	15016
40	1337	14975
41	1370	14941
42	1382	14695
43	1414	14658
44	1449	14652
45	1481	14622
46	1514	14594
47	1546	14567
48	1581	14560
49	1614	14530
50	1646	14493
51	1679	14470
52	1714	14456
53	1747	14430
54	1780	14404
55	1812	14368
56	1844	14333
57	1865	14219
58	1899	14194
59	1934	14189
60	1966	14151
61	1998	14121
62	2031	14092
63	2065	14073
64	2099	14047
65	2130	14009
66	2163	13982
67	2195	13948
68	2217	13852
69	2249	13820
70	2281	13788
71	2314	13757
72	2346	13722
73	2377	13688
74	2411	13666
75	2444	13635
76	2475	13600
77	2508	13573
78	2542	13548
79	2602	13662
80	2642	13669
81	2663	13577
82	2677	13454
83	2726	13503
84	2770	13526
85	2803	13494
86	2842	13491
87	2874	13460
88	2907	13428
89	2939	13390
90	2952	13271
91	2987	13249
92	3025	13238
93	3061	13223
94	3102	13225
95	3143	13230
96	3180	13213
97	3221	13216
98	3270	13247
99	3313	13254
100	3352	13243
101	3400	13268
102	3450	13299
103	3495	13308
104	3513	13216
105	3562	13242
106	3611	13263
107	3643	13224
108	3675	13186
109	3711	13157
110	3744	13122
111	3762	13035
112	3795	12998
113	3827	12959
114	3860	12925
115	3904	12924
116	3939	12895
117	3973	12862
118	4013	12850
119	4055	12842
120	4107	12866
121	4144	12839
122	4179	12809
123	4219	12795
124	4263	12789
125	4300	12765
126	4334	12730
127	4352	12648
128	4384	12609
129	4416	12570
130	4449	12534
131	4485	12504
132	4519	12472
133	4557	12447
134	4594	12423
135	4629	12389
136	4661	12350
137	4695	12317
138	4727	12277
139	4759	12239
140	4792	12203
141	4825	12166
142	4858	12128
143	4890	12090
144	4922	12051
145	4955	12016
146	4982	11964
147	5014	11926
148	5046	11889
149	5081	11857
150	5115	11823
151	5149	11788
152	5181	11752
153	5214	11714
154	5246	11677
155	5264	11609
156	5296	11571
157	5329	11536
158	5361	11499
159	5394	11463
160	5426	11425
161	5460	11392
162	5492	11356
163	5526	11322
164	5561	11291
165	5594	11255
166	5629	11226
167	5667	11199
168	5701	11166
169	5734	11130
170	5765	11092
171	5797	11056
172	5819	11000
173	5851	10962
174	5884	10928
175	5917	10892
176	5948	10856
177	5980	10819
178	6011	10781
179	6044	10746
180	6078	10713
181	6111	10679
182	6146	10648
183	6180	10614
184	6214	10581
185	6247	10546
186	6283	10516
187	6322	10491
188	6354	10456
189	6387	10422
190	6418	10383
191	6451	10348
192	6483	10312
193	6516	10278
194	6549	10244
195	6584	10212
196	6617	10178
197	6650	10143
198	6682	10108
199	6715	10072
200	6749	10040
201	6783	10006
202	6819	9976
203	6852	9943
204	6885	9908
205	6917	9872
206	6950	9837
207	6982	9802
208	7015	9768
209	7048	9733
210	7083	9701
211	7115	9665
212	7148	9631
213	7179	9595
214	7212	9560
215	7244	9525
216	7278	9491
217	7311	9457
218	7343	9421
219	7375	9386
220	7407	9352
221	7440	9317
222	7471	9281
223	7504	9246
224	7536	9211
225	7571	9179
226	7605	9146
227	7637	9111
228	7669	9076
229	7702	9041
230	7734	9007
231	7767	8972
232	7799	8937
233	7832	8903
234	7865	8869
235	7898	8836
236	7930	8800
237	7963	8766
238	7994	8730
239	8027	8696
240	8061	8663
241	8094	8630
242	8126	8594
243	8158	8559
244	8189	8524
245	8222	8490
246	8254	8454
247	8286	8420
248	8319	8386
249	8351	8351
250	8383	8317
251	8415	8282
252	8449	8248
253	8481	8214
254	8514	8180
255	8548	8147
256	8582	8115
257	8616	8081
258	8647	8046
259	8680	8012
260	8712	7977
261	8744	7943
262	8777	7909
263	8809	7875
264	8842	7841
265	8875	7807
266	8908	7773
267	8940	7739
268	8971	7704
269	9003	7669
270	9038	7637
271	9078	7609
272	9112	7577
273	9146	7543
274	9179	7510
275	9211	7475
276	9243	7441
277	9276	7408
278	9310	7375
279	9343	7341
280	9375	7306
281	9408	7273
282	9441	7239
283	9473	7204
284	9505	7171
285	9538	7137
286	9572	7104
287	9608	7072
288	9640	7038
289	9672	7004
290	9705	6970
291	9740	6938
292	9772	6903
293	9807	6872
294	9843	6840
295	9875	6805
296	9910	6773
297	9949	6744
298	9982	6710
299	10016	6677
300	10049	6643
301	10091	6615
302	10124	6582
303	10156	6548
304	10188	6514
305	10221	6480
306	10253	6446
307	10286	6412
308	10319	6378
309	10350	6344
310	10383	6310
311	10416	6276
312	10449	6242
313	10481	6208
314	10514	6175
315	10547	6141
316	10582	6109
317	10614	6074
318	10647	6041
319	10679	6007
320	10712	5973
321	10743	5939
322	10775	5904
323	10807	5870
324	10839	5836
325	10872	5803
326	10906	5770
327	10938	5736
328	10970	5702
329	11002	5667
330	11033	5633
331	11069	5601
332	11104	5568
333	11139	5536
334	11174	5503
335	11206	5470
336	11238	5435
337	11272	5402
338	11305	5369
339	11338	5335
340	11369	5301
341	11401	5267
342	11433	5233
343	11465	5199
344	11497	5165
345	11528	5131
346	11561	5097
347	11594	5064
348	11625	5030
349	11658	4996
350	11691	4962
351	11722	4928
352	11754	4894
353	11786	4861
354	11819	4827
355	11851	4793
356	11885	4760
357	11918	4727
358	11950	4693
359	11982	4659
360	12015	4626
361	12047	4592
362	12083	4560
363	12123	4529
364	12154	4495
365	12186	4461
366	12217	4427
367	12250	4394
368	12284	4361
369	12316	4327
370	12347	4293
371	12379	4259
372	12412	4226
373	12444	4192
374	12477	4159
375	12510	4125
376	12544	4092
377	12580	4060
378	12613	4026
379	12646	3993
380	12677	3959
381	12710	3926
382	12742	3892
383	12773	3858
384	12804	3824
385	12836	3791
386	12868	3757
387	12901	3724
388	12932	3690
389	12965	3656
390	12997	3623
391	13030	3590
392	13065	3557
393	13098	3524
394	13130	3490
395	13162	3456
396	13195	3423
397	13228	3390
398	13263	3357
399	13299	3324
400	13335	3292
401	13371	3259
402	13428	3232
403	13465	3199
404	13498	3166
405	13531	3132
406	13575	3102
407	13607	3068
408	13639	3034
409	13672	3001
410	13706	2968
411	13738	2934
412	13771	2901
413	13804	2867
414	13836	2834
415	13869	2800
416	13902	2767
417	13933	2733
418	13967	2700
419	14001	2666
420	14034	2633
421	14071	2600
422	14104	2567
423	14136	2533
424	14169	2500
425	14202	2467
426	14237	2433
427	14268	2400
428	14301	2366
429	14332	2333
430	14365	2299
431	14398	2266
432	14431	2232
433	14461	2199
434	14493	2165
435	14524	2132
436	14558	2098
437	14603	2067
438	14635	2033
439	14668	2000
440	14703	1967
441	14735	1933
442	14767	1900
443	14799	1866
444	14831	1833
445	14865	1799
446	14897	1766
447	14929	1732
