ds,purchase,redeem,is_holiday,is_workday_shift,is_before_holiday,is_after_holiday,weekday,month_period,mfd_daily_yield,mfd_7daily_yield,Interest_O_N
2013-07-01,32488348.0,5525022.0,0.0,0.0,0.0,0.0,0.0,begin,1.5787,6.307,4.456
2013-07-02,29037390.0,2554548.0,0.0,0.0,0.0,0.0,1.0,begin,1.5461,6.174,3.786
2013-07-03,27270770.0,5953867.0,0.0,0.0,1.0,0.0,2.0,begin,1.467,6.034,3.4
2013-07-04,18321185.0,6410729.0,0.0,0.0,1.0,0.0,3.0,begin,1.4223,5.903,3.348
2013-07-05,11648749.0,2763587.0,0.0,0.0,1.0,0.0,4.0,begin,1.3845,5.739,3.38
2013-07-06,36751272.0,1616635.0,1.0,0.0,1.0,0.0,5.0,begin,1.3674,5.582,3.38
2013-07-07,8962232.0,3982735.0,1.0,0.0,0.0,1.0,6.0,begin,1.3671,5.425,3.38
2013-07-08,57258266.0,8347729.0,0.0,0.0,0.0,1.0,0.0,begin,1.3129,5.279,3.256
2013-07-09,26798941.0,3473059.0,0.0,0.0,0.0,1.0,1.0,begin,1.3096,5.15,3.249
2013-07-10,30696506.0,2597169.0,0.0,0.0,1.0,1.0,2.0,begin,1.2792,5.047,3.251
2013-07-11,44075197.0,3508800.0,0.0,0.0,1.0,0.0,3.0,middle,1.2616,4.959,3.3547
2013-07-12,34183904.0,8492573.0,0.0,0.0,1.0,0.0,4.0,middle,1.2487,4.884,3.3
2013-07-13,15164717.0,3482829.0,1.0,0.0,1.0,0.0,5.0,middle,1.2396,4.815,3.3
2013-07-14,22615303.0,2784107.0,1.0,0.0,0.0,1.0,6.0,middle,1.2394,4.745,3.3
2013-07-15,48128555.0,13107943.0,0.0,0.0,0.0,1.0,0.0,middle,1.1985,4.682,3.2998
2013-07-16,50622847.0,11864981.0,0.0,0.0,0.0,1.0,1.0,middle,1.2214,4.634,3.013
2013-07-17,29015682.0,10911513.0,0.0,0.0,1.0,1.0,2.0,middle,1.1829,4.582,2.968
2013-07-18,24234505.0,11765356.0,0.0,0.0,1.0,0.0,3.0,middle,1.1896,4.543,2.998
2013-07-19,33680124.0,9244769.0,0.0,0.0,1.0,0.0,4.0,middle,1.2032,4.518,3.04
2013-07-20,20439079.0,4601143.0,1.0,0.0,1.0,0.0,5.0,middle,1.1964,4.494,3.04
