ds,purchase,redeem,is_holiday,is_workday_shift,is_next_workday,weekday,month_period
2013-07-01,32488348,5525022,0,0,0,0,begin
2013-07-02,29037390,2554548,0,0,0,1,begin
2013-07-03,27270770,5953867,0,0,0,2,begin
2013-07-04,18321185,6410729,0,0,0,3,begin
2013-07-05,11648749,2763587,0,0,0,4,begin
2013-07-06,36751272,1616635,0,0,0,5,begin
2013-07-07,8962232,3982735,0,0,0,6,begin
2013-07-08,57258266,8347729,0,0,0,0,begin
2013-07-09,26798941,3473059,0,0,0,1,begin
2013-07-10,30696506,2597169,0,0,0,2,begin
2013-07-11,44075197,3508800,0,0,0,3,middle
2013-07-12,34183904,8492573,0,0,0,4,middle
2013-07-13,15164717,3482829,0,0,0,5,middle
2013-07-14,22615303,2784107,0,0,0,6,middle
2013-07-15,48128555,13107943,0,0,0,0,middle
2013-07-16,50622847,11864981,0,0,0,1,middle
2013-07-17,29015682,10911513,0,0,0,2,middle
2013-07-18,24234505,11765356,0,0,0,3,middle
2013-07-19,33680124,9244769,0,0,0,4,middle
2013-07-20,20439079,4601143,0,0,0,5,middle
2013-07-21,21142394,2681331,0,0,0,6,end
2013-07-22,40448896,19144267,0,0,0,0,end
2013-07-23,58136147,24404051,0,0,0,1,end
2013-07-24,48422518,36258592,0,0,0,2,end
2013-07-25,57433418,38212836,0,0,0,3,end
2013-07-26,44721817,39192369,0,0,0,4,end
2013-07-27,17194451,15058893,0,0,0,5,end
2013-07-28,36255382,7683211,0,0,0,6,end
2013-07-29,53512076,18599364,0,0,0,0,end
2013-07-30,47481243,13048582,0,0,0,1,end
2013-07-31,54569637,9534040,0,0,0,2,end
2013-08-01,53369962,18864468,0,0,0,3,begin
2013-08-02,38064536,40150769,0,0,0,4,begin
2013-08-03,21595789,20701797,0,0,0,5,begin
2013-08-04,45745254,8263965,0,0,0,6,begin
2013-08-05,43632203,15797507,0,0,0,0,begin
2013-08-06,50866184,16401387,0,0,0,1,begin
2013-08-07,43908081,29708706,0,0,0,2,begin
2013-08-08,44493490,29551691,0,0,0,3,begin
2013-08-09,33425186,30131015,0,0,0,4,begin
2013-08-10,20615307,26614408,0,0,0,5,begin
2013-08-11,55519543,15372680,0,0,0,6,middle
2013-08-12,94520502,28586669,0,0,0,0,middle
2013-08-13,48720919,28790328,0,0,0,1,middle
2013-08-14,30541167,15031683,0,0,0,2,middle
2013-08-15,42421222,52659327,0,0,0,3,middle
2013-08-16,41683536,33739844,0,0,0,4,middle
2013-08-17,17670519,4674983,0,0,0,5,middle
2013-08-18,59703092,15218300,0,0,0,6,middle
2013-08-19,109184209,28339260,0,0,0,0,middle
2013-08-20,53675509,30131225,0,0,0,1,middle
2013-08-21,38184446,29983342,0,0,0,2,end
2013-08-22,89130737,25000672,0,0,0,3,end
2013-08-23,37878575,25680323,0,0,0,4,end
2013-08-24,44367268,14316598,0,0,0,5,end
2013-08-25,43306288,18117808,0,0,0,6,end
2013-08-26,74496541,20637986,0,0,0,0,end
2013-08-27,45268028,60137633,0,0,0,1,end
2013-08-28,46602319,33696861,0,0,0,2,end
2013-08-29,47518666,35944968,0,0,0,3,end
2013-08-30,56488844,20630752,0,0,0,4,end
2013-08-31,47655303,22012016,0,0,0,5,end
2013-09-01,56239802,59339949,0,0,0,6,begin
2013-09-02,140844739,17785524,0,0,0,0,begin
2013-09-03,80507880,39328144,0,0,0,1,begin
2013-09-04,33366708,27452600,0,0,0,2,begin
2013-09-05,38716505,21800904,0,0,0,3,begin
2013-09-06,38923186,33417903,0,0,0,4,begin
2013-09-07,34076183,20344424,0,0,0,5,begin
2013-09-08,38796909,14919122,0,0,0,6,begin
2013-09-09,49312473,45621186,0,0,0,0,begin
2013-09-10,94684143,37128363,0,0,0,1,begin
2013-09-11,98944459,71674082,0,0,0,2,middle
2013-09-12,68573684,45147220,0,0,0,3,middle
2013-09-13,71655946,60512675,0,0,0,4,middle
2013-09-14,30975443,36312660,0,0,0,5,middle
2013-09-15,37059683,25020715,0,0,0,6,middle
2013-09-16,161656210,45184589,0,0,0,0,middle
2013-09-17,76204815,58260798,0,0,0,1,middle
2013-09-18,42926608,47203221,0,0,0,2,middle
2013-09-19,24778048,11418512,0,0,0,3,middle
2013-09-20,28365762,15188254,0,0,0,4,middle
2013-09-21,32406340,26596179,0,0,0,5,end
2013-09-22,67514169,47962055,0,0,0,6,end
2013-09-23,54658160,58285879,0,0,0,0,end
2013-09-24,74250859,56680792,0,0,0,1,end
2013-09-25,47274168,74838162,0,0,0,2,end
2013-09-26,68718693,48467529,0,0,0,3,end
2013-09-27,42166121,27639603,0,0,0,4,end
2013-09-28,39995798,58105720,0,0,0,5,end
2013-09-29,34433848,40295202,0,0,0,6,end
2013-09-30,28398050,30181353,0,0,0,0,end
2013-10-01,19137499,12813267,0,0,0,1,begin
