experiment_id,group_cols,rmse_purchase,rmse_redeem,total_rmse
1,weekday,64231178.68656827,71229783.57541813,135460962.2619864
2,month_period,83291768.42354783,89021115.58943644,172312884.01298428
3,is_holiday,65553151.77592725,70548707.39593866,136101859.1718659
4,is_next_workday,82894985.8365571,83676298.12532562,166571283.9618827
5,is_workday_shift,86257861.43026108,90073391.94271402,176331253.3729751
6,is_month_end,86267077.57509471,90387521.82242863,176654599.39752334
7,holiday_len,65512337.125827745,70399662.13313253,135911999.25896028
8,is_long_holiday,85389504.18802465,89867544.81938659,175257049.00741124
9,weekday|month_period,58555710.65044886,67835553.728085,126391264.37853386
10,weekday|is_holiday,60224681.92394662,65268468.56862368,125493150.4925703
11,weekday|is_next_workday,62627145.89961077,67398547.61142805,130025693.51103882
12,weekday|is_workday_shift,63731491.60592005,69563067.72415178,133294559.33007182
13,weekday|is_month_end,62870055.66687309,70084394.16373561,132954449.8306087
14,weekday|holiday_len,60219244.5469271,65258062.12160309,125477306.6685302
15,weekday|is_long_holiday,62135175.15675998,68731293.7348489,130866468.89160888
16,month_period|is_holiday,60326703.938421816,68941315.48836257,129268019.42678438
17,month_period|is_next_workday,79103287.01646787,82016696.45052858,161119983.46699643
18,month_period|is_workday_shift,83291749.03911942,88223150.91335426,171514899.9524737
19,month_period|is_month_end,83206116.41084601,88958843.12953763,172164959.54038364
20,month_period|holiday_len,60017993.56960178,68548370.64074077,128566364.21034256
21,month_period|is_long_holiday,81737795.28191197,88534707.76686649,170272503.04877847
22,is_holiday|is_next_workday,64928632.50132731,67606349.36150768,132534981.86283499
23,is_holiday|is_workday_shift,65548402.776369095,70157131.27262096,135705534.04899007
24,is_holiday|is_month_end,65470813.871672474,70134225.11888185,135605038.99055433
25,is_holiday|holiday_len,65512337.125827745,70399662.13313253,135911999.25896028
26,is_holiday|is_long_holiday,65533148.19317698,70541838.304342,136074986.497519
27,is_next_workday|is_workday_shift,82859900.6609947,83583304.09662066,166443204.75761536
28,is_next_workday|is_month_end,82514248.8826747,83212015.6363051,165726264.5189798
29,is_next_workday|holiday_len,64887425.025368124,67450802.71732631,132338227.74269444
30,is_next_workday|is_long_holiday,82143707.61182429,83064697.00679785,165208404.61862212
31,is_workday_shift|is_month_end,86244593.8798427,89795537.17486551,176040131.0547082
32,is_workday_shift|holiday_len,65507585.16739467,70007252.35020451,135514837.51759917
33,is_workday_shift|is_long_holiday,85368970.33666259,89295913.59746152,174664883.9341241
34,is_month_end|holiday_len,65041575.25631357,69625514.51583125,134667089.77214482
35,is_month_end|is_long_holiday,85369836.51853731,89621136.13431248,174990972.6528498
36,holiday_len|is_long_holiday,65512337.125827745,70399662.13313253,135911999.25896028
37,weekday|month_period|is_holiday,52491225.503707826,62491876.2541896,114983101.75789744
38,weekday|month_period|is_next_workday,55883602.594252475,64476260.94084785,120359863.53510033
39,weekday|month_period|is_workday_shift,58277954.867286414,65835954.61106015,124113909.47834656
40,weekday|month_period|is_month_end,57424779.96138087,66749000.59963109,124173780.56101197
41,weekday|month_period|holiday_len,52416854.086706676,62472328.59029576,114889182.67700243
42,weekday|month_period|is_long_holiday,55241912.960077524,66070625.333096646,121312538.29317418
43,weekday|is_holiday|is_next_workday,60135124.26223632,65155099.18867118,125290223.4509075
44,weekday|is_holiday|is_workday_shift,60224681.92394662,65268468.56862368,125493150.4925703
45,weekday|is_holiday|is_month_end,58760458.854703344,64177589.96190161,122938048.81660496
46,weekday|is_holiday|holiday_len,60219244.5469271,65258062.12160309,125477306.6685302
47,weekday|is_holiday|is_long_holiday,60219244.5469271,65258062.12160309,125477306.6685302
48,weekday|is_next_workday|is_workday_shift,62627145.89961077,67398547.61142805,130025693.51103882
49,weekday|is_next_workday|is_month_end,61270488.34859534,66375350.07306257,127645838.42165792
50,weekday|is_next_workday|holiday_len,60129678.78674117,65144674.63161644,125274353.41835761
51,weekday|is_next_workday|is_long_holiday,61530964.20343907,66892025.103537284,128422989.30697635
52,weekday|is_workday_shift|is_month_end,62329176.55184035,68332571.22469655,130661747.7765369
53,weekday|is_workday_shift|holiday_len,60219244.5469271,65258062.12160309,125477306.6685302
54,weekday|is_workday_shift|is_long_holiday,61618493.154335074,67002455.63753689,128620948.79187196
55,weekday|is_month_end|holiday_len,58752751.8607465,64169045.351414286,122921797.2121608
56,weekday|is_month_end|is_long_holiday,60804030.77700275,67759492.6069953,128563523.38399805
57,weekday|holiday_len|is_long_holiday,60219244.5469271,65258062.12160309,125477306.6685302
58,month_period|is_holiday|is_next_workday,58886705.71105647,65944259.24733902,124830964.95839548
59,month_period|is_holiday|is_workday_shift,60218141.51870275,68382933.43553576,128601074.9542385
60,month_period|is_holiday|is_month_end,60087849.61998423,68772309.14779828,128860158.76778251
61,month_period|is_holiday|holiday_len,60017993.56960178,68548370.64074077,128566364.21034256
62,month_period|is_holiday|is_long_holiday,60176328.00371663,68931578.35223474,129107906.35595137
63,month_period|is_next_workday|is_workday_shift,78964392.99252729,81863980.96149404,160828373.95402133
64,month_period|is_next_workday|is_month_end,78964985.40744847,81432873.77825026,160397859.18569875
65,month_period|is_next_workday|holiday_len,58570405.95341075,65533346.19805927,124103752.15147002
66,month_period|is_next_workday|is_long_holiday,77694845.4698083,81684132.64760426,159378978.11741257
67,month_period|is_workday_shift|is_month_end,83206097.00646335,88160314.80909288,171366411.81555623
68,month_period|is_workday_shift|holiday_len,59908871.73043135,67986761.36927944,127895633.09971079
69,month_period|is_workday_shift|is_long_holiday,81736707.65708983,87768811.5313251,169505519.18841493
70,month_period|is_month_end|holiday_len,59426628.752219744,68130409.58235866,127557038.3345784
71,month_period|is_month_end|is_long_holiday,81650513.15577318,88472092.94191207,170122606.09768525
72,month_period|holiday_len|is_long_holiday,60017993.56960178,68548370.64074077,128566364.21034256
73,is_holiday|is_next_workday|is_workday_shift,64883832.95705736,67491216.68587716,132375049.64293452
74,is_holiday|is_next_workday|is_month_end,64227428.61435644,66951404.045002095,131178832.65935853
75,is_holiday|is_next_workday|holiday_len,64887425.025368124,67450802.71732631,132338227.74269444
76,is_holiday|is_next_workday|is_long_holiday,64908436.45354243,67599181.28282614,132507617.73636857
77,is_holiday|is_workday_shift|is_month_end,65465534.50985868,69728102.89431262,135193637.4041713
78,is_holiday|is_workday_shift|holiday_len,65507585.16739467,70007252.35020451,135514837.51759917
79,is_holiday|is_workday_shift|is_long_holiday,65528397.74391139,70150223.83800305,135678621.58191445
80,is_holiday|is_month_end|holiday_len,65041575.25631357,69625514.51583125,134667089.77214482
81,is_holiday|is_month_end|is_long_holiday,65452876.17482679,70129057.71567369,135581933.8905005
82,is_holiday|holiday_len|is_long_holiday,65512337.125827745,70399662.13313253,135911999.25896028
83,is_next_workday|is_workday_shift|is_month_end,82484403.39591184,83092997.26373117,165577400.659643
84,is_next_workday|is_workday_shift|holiday_len,64842597.01099021,67335404.08255875,132178001.09354895
85,is_next_workday|is_workday_shift|is_long_holiday,82108301.41297397,82971017.49756312,165079318.9105371
86,is_next_workday|is_month_end|holiday_len,63789823.86882546,66418320.0793678,130208143.94819325
87,is_next_workday|is_month_end|is_long_holiday,81737017.7663758,82591766.49633661,164328784.26271242
