ds,is_holiday,weekday,month_period,is_month_end,is_next_workday
2014-03-01,1,5,begin,0,0
2014-03-02,1,6,begin,0,0
2014-03-03,0,0,begin,0,1
2014-03-04,0,1,begin,0,0
2014-03-05,0,2,begin,0,0
2014-03-06,0,3,begin,0,0
2014-03-07,0,4,begin,0,0
2014-03-08,1,5,begin,0,0
2014-03-09,1,6,begin,0,0
2014-03-10,0,0,begin,0,1
2014-03-11,0,1,middle,0,0
2014-03-12,0,2,middle,0,0
2014-03-13,0,3,middle,0,0
2014-03-14,0,4,middle,0,0
2014-03-15,1,5,middle,0,0
2014-03-16,1,6,middle,0,0
2014-03-17,0,0,middle,0,1
2014-03-18,0,1,middle,0,0
2014-03-19,0,2,middle,0,0
2014-03-20,0,3,middle,0,0
2014-03-21,0,4,end,0,0
2014-03-22,1,5,end,0,0
2014-03-23,1,6,end,0,0
2014-03-24,0,0,end,0,1
2014-03-25,0,1,end,0,0
2014-03-26,0,2,end,0,0
2014-03-27,0,3,end,0,0
2014-03-28,0,4,end,0,0
2014-03-29,1,5,end,0,0
2014-03-30,1,6,end,0,0
2014-03-31,0,0,end,1,1
2014-04-01,0,1,begin,0,0
2014-04-02,0,2,begin,0,0
2014-04-03,0,3,begin,0,0
2014-04-04,0,4,begin,0,0
2014-04-05,1,5,begin,0,0
2014-04-06,1,6,begin,0,0
2014-04-07,1,0,begin,0,0
2014-04-08,0,1,begin,0,1
2014-04-09,0,2,begin,0,0
2014-04-10,0,3,begin,0,0
2014-04-11,0,4,middle,0,0
2014-04-12,1,5,middle,0,0
2014-04-13,1,6,middle,0,0
2014-04-14,0,0,middle,0,1
2014-04-15,0,1,middle,0,0
2014-04-16,0,2,middle,0,0
2014-04-17,0,3,middle,0,0
2014-04-18,0,4,middle,0,0
2014-04-19,1,5,middle,0,0
2014-04-20,1,6,middle,0,0
2014-04-21,0,0,end,0,1
2014-04-22,0,1,end,0,0
2014-04-23,0,2,end,0,0
2014-04-24,0,3,end,0,0
2014-04-25,0,4,end,0,0
2014-04-26,1,5,end,0,0
2014-04-27,1,6,end,0,0
2014-04-28,0,0,end,0,1
2014-04-29,0,1,end,0,0
2014-04-30,0,2,end,1,0
2014-05-01,1,3,begin,0,0
2014-05-02,1,4,begin,0,0
2014-05-03,1,5,begin,0,0
2014-05-04,0,6,begin,0,1
2014-05-05,0,0,begin,0,0
2014-05-06,0,1,begin,0,0
2014-05-07,0,2,begin,0,0
2014-05-08,0,3,begin,0,0
2014-05-09,0,4,begin,0,0
2014-05-10,1,5,begin,0,0
2014-05-11,1,6,middle,0,0
2014-05-12,0,0,middle,0,1
2014-05-13,0,1,middle,0,0
2014-05-14,0,2,middle,0,0
2014-05-15,0,3,middle,0,0
2014-05-16,0,4,middle,0,0
2014-05-17,1,5,middle,0,0
