iter	Passed	Remaining
0	270	4058570
1	415	3115822
2	563	2818674
3	706	2647005
4	847	2540740
5	1023	2556701
6	1180	2528062
7	1316	2466507
8	1452	2419623
9	1597	2393993
10	1732	2360654
11	1863	2327327
12	2004	2311194
13	2149	2300639
14	2286	2284494
15	2436	2281636
16	2588	2281298
17	2743	2283095
18	2888	2277723
19	3031	2270489
20	3164	2256903
21	3287	2238332
22	3422	2228424
23	3583	2236099
24	3715	2225625
25	3852	2218711
26	3985	2210051
27	4119	2202572
28	4260	2199197
29	4391	2191428
30	4523	2184332
31	4682	2190132
32	4857	2203016
33	5000	2201169
34	5136	2196161
35	5264	2188221
36	5401	2184589
37	5530	2177446
38	5665	2173397
39	5799	2169193
40	5937	2166161
41	6064	2159954
42	6198	2156024
43	6331	2152227
44	6476	2152229
45	6628	2154861
46	6763	2151746
47	6903	2150558
48	7040	2148354
49	7171	2144302
50	7300	2140042
51	7428	2135443
52	7561	2132561
53	7684	2126910
54	7820	2125024
55	7960	2124208
56	8099	2123303
57	8232	2120918
58	8370	2119675
59	8503	2117480
60	8652	2119028
61	8836	2128987
62	8997	2133235
63	9174	2141041
64	9337	2145441
65	9506	2150974
66	9663	2153747
67	9817	2155816
68	9949	2152998
69	10081	2150245
70	10220	2149004
71	10360	2148121
72	10503	2147799
73	10647	2147649
74	10781	2145474
75	10919	2144253
76	11054	2142439
77	11201	2142926
78	11343	2142455
79	11475	2140233
80	11621	2140434
81	11765	2140499
82	11903	2139300
83	12033	2136746
84	12169	2135337
85	12313	2135305
86	12441	2132603
87	12579	2131669
88	12736	2133881
89	12868	2131822
90	13017	2132740
91	13141	2129562
92	13268	2126822
93	13401	2125110
94	13535	2123678
95	13668	2122010
96	13800	2120280
97	13928	2117985
98	14069	2117720
99	14248	2123000
100	14388	2122458
101	14523	2121275
102	14661	2120556
103	14798	2119629
104	14923	2117011
105	15062	2116397
106	15189	2114112
107	15320	2112592
108	15458	2111885
109	15597	2111373
110	15745	2112047
111	15875	2110256
112	16007	2108914
113	16144	2108109
114	16279	2107189
115	16408	2105363
116	16532	2102964
117	16670	2102470
118	16813	2102483
119	16950	2101888
120	17099	2102674
121	17231	2101350
122	17364	2100304
123	17494	2098816
124	17633	2098431
125	17776	2098485
126	17907	2097132
127	18039	2095941
128	18183	2096206
129	18309	2094345
130	18428	2091738
131	18566	2091234
132	18691	2089416
133	18814	2087254
134	18954	2087075
135	19082	2085568
136	19212	2084395
137	19340	2082918
138	19492	2083980
139	19627	2083345
140	19764	2082823
141	19894	2081644
142	20029	2080971
143	20160	2079911
144	20282	2077951
145	20409	2076482
146	20539	2075305
147	20676	2074875
148	20814	2074647
149	20973	2076400
150	21125	2077428
151	21261	2076872
152	21397	2076437
153	21527	2075319
154	21657	2074232
155	21800	2074408
156	21931	2073412
157	22057	2071972
158	22181	2070454
159	22298	2068212
160	22428	2067202
161	22574	2067627
162	22754	2071179
163	22900	2071666
164	23064	2073746
165	23213	2074383
166	23355	2074415
167	23485	2073448
168	23613	2072228
169	23737	2070770
170	23862	2069363
171	23988	2068005
172	24109	2066313
173	24237	2065161
174	24359	2063635
175	24495	2063157
176	24628	2062563
177	24770	2062626
178	24912	2062723
179	25045	2062120
180	25183	2061864
181	25308	2060536
182	25431	2059091
183	25559	2058060
184	25691	2057410
185	25860	2059668
186	25996	2059308
187	26138	2059356
188	26272	2058825
189	26403	2058074
190	26526	2056731
191	26669	2056857
192	26811	2056963
193	26949	2056783
194	27082	2056183
195	27212	2055372
196	27344	2054710
197	27467	2053436
198	27593	2052282
199	27709	2050471
200	27832	2049217
201	27962	2048467
202	28080	2046840
203	28202	2045539
204	28323	2044163
205	28451	2043290
206	28572	2041883
207	28695	2040714
208	28824	2039902
209	28945	2038604
210	29076	2037944
211	29200	2036893
212	29327	2036014
213	29463	2035762
214	29587	2034663
215	29704	2033126
216	29822	2031638
217	29934	2029790
218	30058	2028754
219	30179	2027511
220	30303	2026526
221	30419	2024944
222	30542	2023902
223	30659	2022441
224	30834	2024800
225	30973	2024813
226	31096	2023766
227	31211	2022192
228	31345	2021877
229	31477	2021423
230	31628	2022184
231	31755	2021379
232	31879	2020429
233	31999	2019219
234	32112	2017651
235	32238	2016795
236	32365	2016093
237	32488	2015136
238	32620	2014681
239	32754	2014385
240	32883	2013790
241	33009	2013008
242	33138	2012422
243	33260	2011452
244	33399	2011457
245	33522	2010542
246	33648	2009766
247	33780	2009419
248	33900	2008298
249	34023	2007361
250	34147	2006529
251	34272	2005785
252	34398	2005044
253	34522	2004228
254	34649	2003530
255	34776	2002929
256	34894	2001750
257	35012	2000601
258	35125	1999172
259	35244	1998082
260	35359	1996822
261	35480	1995848
262	35597	1994703
263	35721	1993889
264	35841	1992897
265	35962	1992025
266	36084	1991157
267	36203	1990128
268	36321	1989056
269	36446	1988360
270	36564	1987317
271	36684	1986353
272	36805	1985463
273	36929	1984734
274	37051	1983935
275	37173	1983125
276	37292	1982147
277	37408	1981028
278	37528	1980127
279	37648	1979255
280	37763	1978074
281	37880	1977021
282	37999	1976109
283	38170	1977876
284	38295	1977245
285	38418	1976553
286	38544	1975990
287	38675	1975686
288	38796	1974871
289	38917	1974038
290	39036	1973135
291	39159	1972459
292	39287	1972041
293	39413	1971475
294	39540	1970997
295	39677	1971011
296	39815	1971079
297	39944	1970699
298	40071	1970218
299	40186	1969131
300	40308	1968399
301	40439	1968153
302	40569	1967820
303	40697	1967419
304	40819	1966677
305	40937	1965810
306	41058	1965040
307	41180	1964360
308	41310	1964048
309	41424	1962972
310	41546	1962317
311	41664	1961447
312	41785	1960706
313	41899	1959673
314	42015	1958727
315	42128	1957653
316	42247	1956833
317	42364	1955950
318	42483	1955167
319	42610	1954747
320	42727	1953896
321	42849	1953258
322	42962	1952191
323	43076	1951205
324	43184	1949924
325	43301	1949118
326	43417	1948222
327	43534	1947362
328	43661	1947004
329	43781	1946283
330	43899	1945505
331	44018	1944767
332	44140	1944185
333	44258	1943381
334	44377	1942656
335	44496	1941933
336	44621	1941490
337	44734	1940535
338	44856	1939951
339	44976	1939301
340	45098	1938704
341	45218	1938061
342	45348	1937830
343	45467	1937113
344	45591	1936635
345	45714	1936108
346	45830	1935302
347	45953	1934801
348	46068	1933952
