iter	Passed	Remaining
0	817	4084923
1	2055	5137755
2	2615	4357348
3	3112	3887090
4	3531	3528342
5	3985	3317269
6	4358	3109002
7	4760	2970527
8	5176	2870680
9	5554	2771664
10	5927	2688168
11	6310	2623031
12	6700	2570488
13	7102	2529674
14	7508	2495206
15	7890	2457861
16	8290	2429986
17	8686	2404220
18	9098	2385155
19	9489	2362872
20	9873	2341018
21	10262	2322168
22	10655	2305795
23	11080	2297323
24	11498	2288228
25	11873	2271575
26	12237	2253937
27	12633	2243295
28	13020	2231897
29	13405	2220810
30	13813	2214173
31	14208	2205877
32	14605	2198348
33	14996	2190427
34	15399	2184462
35	15782	2176254
36	16182	2170615
37	16575	2164379
38	16965	2158048
39	17342	2150463
40	17725	2143956
41	18090	2135574
42	18477	2130045
43	18838	2121953
44	19181	2112065
45	19539	2104322
46	19919	2099180
47	20281	2092333
48	20688	2090381
49	21091	2088090
50	21456	2082162
51	21837	2077920
52	22218	2073877
53	22604	2070431
54	22967	2064946
55	23353	2061742
56	23770	2061352
57	24186	2060822
58	24596	2059826
59	25002	2058518
60	25452	2060792
61	25874	2060750
62	26298	2060867
63	26677	2057483
64	27078	2055920
65	27472	2053814
66	27862	2051448
67	28255	2049376
68	28645	2047135
69	29040	2045277
70	29428	2043011
71	29839	2042350
72	30212	2039157
73	30570	2035002
74	30958	2032926
75	31333	2030072
76	31689	2026064
77	32080	2024387
78	32472	2022721
79	32886	2022508
80	33388	2027652
81	33804	2027470
82	34237	2028286
83	34625	2026413
84	34975	2022390
85	35365	2020749
86	35760	2019449
87	36128	2016632
88	36485	2013236
89	36873	2011645
90	37272	2010691
91	37653	2008746
92	38033	2006784
93	38461	2007372
94	38880	2007469
95	39334	2009333
96	39751	2009286
97	40158	2008724
98	40555	2007691
99	40939	2006023
100	41282	2002386
101	41676	2001281
102	42037	1998621
103	42435	1997709
104	42815	1996040
105	43189	1994030
106	43567	1992286
107	43948	1990693
108	44335	1989381
109	44721	1988064
110	45096	1986264
111	45446	1983403
112	45808	1981133
113	46198	1980062
114	46578	1978559
115	47003	1979025
116	47416	1978917
117	47798	1977547
118	48150	1974986
119	48533	1973711
120	48917	1972468
121	49326	1972250
122	49694	1970401
123	50076	1969138
124	50426	1966642
125	50815	1965671
126	51172	1963501
127	51535	1961564
128	51895	1959568
129	52296	1959101
130	52695	1958588
131	53072	1957264
132	53445	1955790
133	53807	1953918
134	54188	1952785
135	54592	1952490
136	54974	1951395
137	55383	1951282
138	55759	1949984
139	56156	1949448
140	56586	1950010
141	56968	1948970
142	57447	1951212
143	57939	1953858
144	58322	1952797
145	58794	1954714
146	59239	1955694
147	59630	1954917
148	60185	1959462
149	60624	1960205
150	61012	1959261
151	61371	1957422
152	61779	1957159
153	62188	1956927
154	62575	1955994
155	62968	1955266
156	63433	1956746
157	63819	1955781
158	64206	1954851
159	64610	1954460
160	64981	1953091
161	65359	1951918
162	65749	1951108
163	66161	1950969
164	66525	1949394
165	66893	1947959
166	67284	1947212
167	67680	1946622
168	68082	1946193
169	68498	1946168
170	68880	1945178
171	69266	1944294
172	69658	1943599
173	70072	1943497
174	70466	1942864
175	70879	1942731
176	71263	1941843
177	71658	1941216
178	72057	1940727
179	72460	1940321
180	72846	1939481
