ds,weekday,month_period,is_holiday,is_workday_shift,is_next_workday,is_month_end,is_quarter_end,is_festival_eve,holiday_len,is_long_holiday
2014-03-01,5,begin,1,0,0,0,0,0,1,0
2014-03-02,6,begin,1,0,0,0,0,0,2,0
2014-03-03,0,begin,0,0,1,0,0,0,0,0
2014-03-04,1,begin,0,0,0,0,0,0,0,0
2014-03-05,2,begin,0,0,0,0,0,0,0,0
2014-03-06,3,begin,0,0,0,0,0,0,0,0
2014-03-07,4,begin,0,0,0,0,0,1,0,0
2014-03-08,5,begin,1,0,0,0,0,0,1,0
2014-03-09,6,begin,1,0,0,0,0,0,2,0
2014-03-10,0,begin,0,0,1,0,0,0,0,0
2014-03-11,1,middle,0,0,0,0,0,0,0,0
2014-03-12,2,middle,0,0,0,0,0,0,0,0
2014-03-13,3,middle,0,0,0,0,0,0,0,0
2014-03-14,4,middle,0,0,0,0,0,1,0,0
2014-03-15,5,middle,1,0,0,0,0,0,1,0
2014-03-16,6,middle,1,0,0,0,0,0,2,0
2014-03-17,0,middle,0,0,1,0,0,0,0,0
2014-03-18,1,middle,0,0,0,0,0,0,0,0
2014-03-19,2,middle,0,0,0,0,0,0,0,0
2014-03-20,3,middle,0,0,0,0,0,0,0,0
2014-03-21,4,end,0,0,0,0,0,1,0,0
2014-03-22,5,end,1,0,0,0,0,0,1,0
2014-03-23,6,end,1,0,0,0,0,0,2,0
2014-03-24,0,end,0,0,1,0,0,0,0,0
2014-03-25,1,end,0,0,0,0,0,0,0,0
2014-03-26,2,end,0,0,0,0,0,0,0,0
2014-03-27,3,end,0,0,0,0,0,0,0,0
2014-03-28,4,end,0,0,0,0,0,1,0,0
2014-03-29,5,end,1,0,0,0,0,0,1,0
2014-03-30,6,end,1,0,0,0,0,0,2,0
2014-03-31,0,end,0,0,1,1,1,0,0,0
2014-04-01,1,begin,0,0,0,0,0,0,0,0
2014-04-02,2,begin,0,0,0,0,0,0,0,0
2014-04-03,3,begin,0,0,0,0,0,0,0,0
2014-04-04,4,begin,0,0,0,0,0,1,0,0
2014-04-05,5,begin,1,0,0,0,0,0,1,0
2014-04-06,6,begin,1,0,0,0,0,0,2,0
2014-04-07,0,begin,1,0,0,0,0,0,3,1
2014-04-08,1,begin,0,0,1,0,0,0,0,0
2014-04-09,2,begin,0,0,0,0,0,0,0,0
2014-04-10,3,begin,0,0,0,0,0,0,0,0
2014-04-11,4,middle,0,0,0,0,0,1,0,0
2014-04-12,5,middle,1,0,0,0,0,0,1,0
2014-04-13,6,middle,1,0,0,0,0,0,2,0
2014-04-14,0,middle,0,0,1,0,0,0,0,0
2014-04-15,1,middle,0,0,0,0,0,0,0,0
2014-04-16,2,middle,0,0,0,0,0,0,0,0
2014-04-17,3,middle,0,0,0,0,0,0,0,0
2014-04-18,4,middle,0,0,0,0,0,1,0,0
2014-04-19,5,middle,1,0,0,0,0,0,1,0
2014-04-20,6,middle,1,0,0,0,0,0,2,0
2014-04-21,0,end,0,0,1,0,0,0,0,0
2014-04-22,1,end,0,0,0,0,0,0,0,0
2014-04-23,2,end,0,0,0,0,0,0,0,0
2014-04-24,3,end,0,0,0,0,0,0,0,0
2014-04-25,4,end,0,0,0,0,0,1,0,0
2014-04-26,5,end,1,0,0,0,0,0,1,0
2014-04-27,6,end,1,0,0,0,0,0,2,0
2014-04-28,0,end,0,0,1,0,0,0,0,0
2014-04-29,1,end,0,0,0,0,0,0,0,0
2014-04-30,2,end,0,0,0,1,0,1,0,0
2014-05-01,3,begin,1,0,0,0,0,0,1,0
2014-05-02,4,begin,1,0,0,0,0,0,2,0
2014-05-03,5,begin,1,0,0,0,0,0,3,1
2014-05-04,6,begin,0,1,1,0,0,0,0,0
2014-05-05,0,begin,0,0,0,0,0,0,0,0
2014-05-06,1,begin,0,0,0,0,0,0,0,0
2014-05-07,2,begin,0,0,0,0,0,0,0,0
2014-05-08,3,begin,0,0,0,0,0,0,0,0
2014-05-09,4,begin,0,0,0,0,0,1,0,0
2014-05-10,5,begin,1,0,0,0,0,0,1,0
2014-05-11,6,middle,1,0,0,0,0,0,2,0
2014-05-12,0,middle,0,0,1,0,0,0,0,0
2014-05-13,1,middle,0,0,0,0,0,0,0,0
2014-05-14,2,middle,0,0,0,0,0,0,0,0
2014-05-15,3,middle,0,0,0,0,0,0,0,0
2014-05-16,4,middle,0,0,0,0,0,1,0,0
2014-05-17,5,middle,1,0,0,0,0,0,1,0
2014-05-18,6,middle,1,0,0,0,0,0,2,0
2014-05-19,0,middle,0,0,1,0,0,0,0,0
2014-05-20,1,middle,0,0,0,0,0,0,0,0
2014-05-21,2,end,0,0,0,0,0,0,0,0
2014-05-22,3,end,0,0,0,0,0,0,0,0
2014-05-23,4,end,0,0,0,0,0,1,0,0
2014-05-24,5,end,1,0,0,0,0,0,1,0
2014-05-25,6,end,1,0,0,0,0,0,2,0
2014-05-26,0,end,0,0,1,0,0,0,0,0
2014-05-27,1,end,0,0,0,0,0,0,0,0
2014-05-28,2,end,0,0,0,0,0,0,0,0
2014-05-29,3,end,0,0,0,0,0,0,0,0
2014-05-30,4,end,0,0,0,0,0,1,0,0
2014-05-31,5,end,1,0,0,1,0,0,1,0
2014-06-01,6,begin,1,0,0,0,0,0,2,0
2014-06-02,0,begin,1,0,0,0,0,0,3,1
2014-06-03,1,begin,0,0,1,0,0,0,0,0
2014-06-04,2,begin,0,0,0,0,0,0,0,0
2014-06-05,3,begin,0,0,0,0,0,0,0,0
2014-06-06,4,begin,0,0,0,0,0,1,0,0
2014-06-07,5,begin,1,0,0,0,0,0,1,0
2014-06-08,6,begin,1,0,0,0,0,0,2,0
2014-06-09,0,begin,0,0,1,0,0,0,0,0
2014-06-10,1,begin,0,0,0,0,0,0,0,0
2014-06-11,2,middle,0,0,0,0,0,0,0,0
2014-06-12,3,middle,0,0,0,0,0,0,0,0
2014-06-13,4,middle,0,0,0,0,0,1,0,0
2014-06-14,5,middle,1,0,0,0,0,0,1,0
2014-06-15,6,middle,1,0,0,0,0,0,2,0
2014-06-16,0,middle,0,0,1,0,0,0,0,0
2014-06-17,1,middle,0,0,0,0,0,0,0,0
2014-06-18,2,middle,0,0,0,0,0,0,0,0
2014-06-19,3,middle,0,0,0,0,0,0,0,0
2014-06-20,4,middle,0,0,0,0,0,1,0,0
2014-06-21,5,end,1,0,0,0,0,0,1,0
2014-06-22,6,end,1,0,0,0,0,0,2,0
2014-06-23,0,end,0,0,1,0,0,0,0,0
2014-06-24,1,end,0,0,0,0,0,0,0,0
2014-06-25,2,end,0,0,0,0,0,0,0,0
2014-06-26,3,end,0,0,0,0,0,0,0,0
2014-06-27,4,end,0,0,0,0,0,1,0,0
2014-06-28,5,end,1,0,0,0,0,0,1,0
2014-06-29,6,end,1,0,0,0,0,0,2,0
2014-06-30,0,end,0,0,1,1,1,0,0,0
2014-07-01,1,begin,0,0,0,0,0,0,0,0
2014-07-02,2,begin,0,0,0,0,0,0,0,0
2014-07-03,3,begin,0,0,0,0,0,0,0,0
2014-07-04,4,begin,0,0,0,0,0,1,0,0
2014-07-05,5,begin,1,0,0,0,0,0,1,0
2014-07-06,6,begin,1,0,0,0,0,0,2,0
2014-07-07,0,begin,0,0,1,0,0,0,0,0
2014-07-08,1,begin,0,0,0,0,0,0,0,0
2014-07-09,2,begin,0,0,0,0,0,0,0,0
2014-07-10,3,begin,0,0,0,0,0,0,0,0
2014-07-11,4,middle,0,0,0,0,0,1,0,0
2014-07-12,5,middle,1,0,0,0,0,0,1,0
2014-07-13,6,middle,1,0,0,0,0,0,2,0
2014-07-14,0,middle,0,0,1,0,0,0,0,0
2014-07-15,1,middle,0,0,0,0,0,0,0,0
2014-07-16,2,middle,0,0,0,0,0,0,0,0
2014-07-17,3,middle,0,0,0,0,0,0,0,0
2014-07-18,4,middle,0,0,0,0,0,1,0,0
2014-07-19,5,middle,1,0,0,0,0,0,1,0
2014-07-20,6,middle,1,0,0,0,0,0,2,0
2014-07-21,0,end,0,0,1,0,0,0,0,0
2014-07-22,1,end,0,0,0,0,0,0,0,0
2014-07-23,2,end,0,0,0,0,0,0,0,0
2014-07-24,3,end,0,0,0,0,0,0,0,0
2014-07-25,4,end,0,0,0,0,0,1,0,0
2014-07-26,5,end,1,0,0,0,0,0,1,0
2014-07-27,6,end,1,0,0,0,0,0,2,0
2014-07-28,0,end,0,0,1,0,0,0,0,0
2014-07-29,1,end,0,0,0,0,0,0,0,0
2014-07-30,2,end,0,0,0,0,0,0,0,0
2014-07-31,3,end,0,0,0,1,0,0,0,0
2014-08-01,4,begin,0,0,0,0,0,1,0,0
2014-08-02,5,begin,1,0,0,0,0,0,1,0
2014-08-03,6,begin,1,0,0,0,0,0,2,0
2014-08-04,0,begin,0,0,1,0,0,0,0,0
2014-08-05,1,begin,0,0,0,0,0,0,0,0
2014-08-06,2,begin,0,0,0,0,0,0,0,0
